group,function,value,sample_time_nanos,iteration_count
day01_part1,Pre-Parse_string,,969394,7218
day01_part1,Pre-Parse_string,,1835940,14436
day01_part1,Pre-Parse_string,,2915108,21654
day01_part1,Pre-Parse_string,,4040439,28872
day01_part1,Pre-Parse_string,,4892996,36090
day01_part1,Pre-Parse_string,,5749561,43308
day01_part1,Pre-Parse_string,,7848816,50526
day01_part1,Pre-Parse_string,,7105835,57744
day01_part1,Pre-Parse_string,,8521583,64962
day01_part1,Pre-Parse_string,,8934608,72180
day01_part1,Pre-Parse_string,,10331080,79398
day01_part1,Pre-Parse_string,,10636294,86616
day01_part1,Pre-Parse_string,,11779584,93834
day01_part1,Pre-Parse_string,,14409755,101052
day01_part1,Pre-Parse_string,,13664529,108270
day01_part1,Pre-Parse_string,,21027827,115488
day01_part1,Pre-Parse_string,,16016640,122706
day01_part1,Pre-Parse_string,,18637555,129924
day01_part1,Pre-Parse_string,,17097500,137142
day01_part1,Pre-Parse_string,,18278478,144360
day01_part1,Pre-Parse_string,,18664438,151578
day01_part1,Pre-Parse_string,,19449273,158796
day01_part1,Pre-Parse_string,,20349949,166014
day01_part1,Pre-Parse_string,,23144375,173232
day01_part1,Pre-Parse_string,,26298014,180450
day01_part1,Pre-Parse_string,,26526193,187668
day01_part1,Pre-Parse_string,,26130079,194886
day01_part1,Pre-Parse_string,,25290754,202104
day01_part1,Pre-Parse_string,,26581382,209322
day01_part1,Pre-Parse_string,,27295407,216540
day01_part1,Pre-Parse_string,,27475363,223758
day01_part1,Pre-Parse_string,,28717848,230976
day01_part1,Pre-Parse_string,,29190357,238194
day01_part1,Pre-Parse_string,,31018870,245412
day01_part1,Pre-Parse_string,,37677257,252630
day01_part1,Pre-Parse_string,,47191921,259848
day01_part1,Pre-Parse_string,,37093426,267066
day01_part1,Pre-Parse_string,,33686447,274284
day01_part1,Pre-Parse_string,,35269606,281502
day01_part1,Pre-Parse_string,,37892808,288720
day01_part1,Pre-Parse_string,,38471006,295938
day01_part1,Pre-Parse_string,,38823112,303156
day01_part1,Pre-Parse_string,,44401866,310374
day01_part1,Pre-Parse_string,,39345406,317592
day01_part1,Pre-Parse_string,,40212684,324810
day01_part1,Pre-Parse_string,,41546299,332028
day01_part1,Pre-Parse_string,,46004995,339246
day01_part1,Pre-Parse_string,,54227760,346464
day01_part1,Pre-Parse_string,,48400818,353682
day01_part1,Pre-Parse_string,,44004368,360900
day01_part1,Pre-Parse_string,,46110191,368118
day01_part1,Pre-Parse_string,,46598385,375336
day01_part1,Pre-Parse_string,,51040215,382554
day01_part1,Pre-Parse_string,,50411790,389772
day01_part1,Pre-Parse_string,,49074668,396990
day01_part1,Pre-Parse_string,,49152416,404208
day01_part1,Pre-Parse_string,,49927820,411426
day01_part1,Pre-Parse_string,,53056273,418644
day01_part1,Pre-Parse_string,,51401250,425862
day01_part1,Pre-Parse_string,,58183235,433080
day01_part1,Pre-Parse_string,,85672860,440298
day01_part1,Pre-Parse_string,,97258432,447516
day01_part1,Pre-Parse_string,,94472387,454734
day01_part1,Pre-Parse_string,,57650965,461952
day01_part1,Pre-Parse_string,,58542518,469170
day01_part1,Pre-Parse_string,,57114379,476388
day01_part1,Pre-Parse_string,,57973103,483606
day01_part1,Pre-Parse_string,,58783960,490824
day01_part1,Pre-Parse_string,,62000917,498042
day01_part1,Pre-Parse_string,,61244338,505260
day01_part1,Pre-Parse_string,,61325259,512478
day01_part1,Pre-Parse_string,,62345326,519696
day01_part1,Pre-Parse_string,,62747155,526914
day01_part1,Pre-Parse_string,,85077790,534132
day01_part1,Pre-Parse_string,,80395520,541350
day01_part1,Pre-Parse_string,,66283146,548568
day01_part1,Pre-Parse_string,,68150749,555786
day01_part1,Pre-Parse_string,,67694851,563004
day01_part1,Pre-Parse_string,,68524094,570222
day01_part1,Pre-Parse_string,,68648640,577440
day01_part1,Pre-Parse_string,,73198217,584658
day01_part1,Pre-Parse_string,,85692304,591876
day01_part1,Pre-Parse_string,,92753178,599094
day01_part1,Pre-Parse_string,,83656351,606312
day01_part1,Pre-Parse_string,,87172854,613530
day01_part1,Pre-Parse_string,,105507986,620748
day01_part1,Pre-Parse_string,,91880498,627966
day01_part1,Pre-Parse_string,,101471596,635184
day01_part1,Pre-Parse_string,,160880734,642402
day01_part1,Pre-Parse_string,,255940946,649620
day01_part1,Pre-Parse_string,,164425893,656838
day01_part1,Pre-Parse_string,,106855841,664056
day01_part1,Pre-Parse_string,,245767790,671274
day01_part1,Pre-Parse_string,,234203093,678492
day01_part1,Pre-Parse_string,,159648836,685710
day01_part1,Pre-Parse_string,,151460485,692928
day01_part1,Pre-Parse_string,,178585208,700146
day01_part1,Pre-Parse_string,,101126716,707364
day01_part1,Pre-Parse_string,,99099951,714582
day01_part1,Pre-Parse_string,,96899372,721800
