group,function,value,sample_time_nanos,iteration_count
day01_part2,,,31721233,1
day01_part2,,,53923543,2
day01_part2,,,79529880,3
day01_part2,,,101492080,4
day01_part2,,,125918385,5
day01_part2,,,155930242,6
day01_part2,,,207136721,7
day01_part2,,,230834627,8
day01_part2,,,263937128,9
day01_part2,,,268263801,10
day01_part2,,,644568420,11
day01_part2,,,809699556,12
day01_part2,,,507571488,13
day01_part2,,,405486015,14
day01_part2,,,552645615,15
day01_part2,,,544234318,16
day01_part2,,,555278865,17
day01_part2,,,533760182,18
day01_part2,,,630962608,19
day01_part2,,,593264824,20
day01_part2,,,613934438,21
day01_part2,,,580066026,22
day01_part2,,,642761155,23
day01_part2,,,668656038,24
day01_part2,,,729418645,25
day01_part2,,,912014590,26
day01_part2,,,1759521214,27
day01_part2,,,1127750430,28
day01_part2,,,1002497892,29
day01_part2,,,949337344,30
day01_part2,,,1083921388,31
day01_part2,,,1111978965,32
day01_part2,,,1429436012,33
day01_part2,,,1100578229,34
day01_part2,,,1126624082,35
day01_part2,,,1006176577,36
day01_part2,,,1033981792,37
day01_part2,,,1035698389,38
day01_part2,,,1176987692,39
day01_part2,,,1062792475,40
day01_part2,,,1092950437,41
day01_part2,,,1127372177,42
day01_part2,,,1130964787,43
day01_part2,,,1380784400,44
day01_part2,,,1414903296,45
day01_part2,,,1855532712,46
day01_part2,,,1345504824,47
day01_part2,,,1562931858,48
day01_part2,,,1733262838,49
day01_part2,,,1524127960,50
day01_part2,,,1866264828,51
day01_part2,,,1666744210,52
day01_part2,,,1527086145,53
day01_part2,,,1498120337,54
day01_part2,,,1480351110,55
day01_part2,,,1517772769,56
day01_part2,,,1550893255,57
day01_part2,,,1536764836,58
day01_part2,,,1605928291,59
day01_part2,,,1671797957,60
day01_part2,,,1630745612,61
day01_part2,,,1671053534,62
day01_part2,,,1686389853,63
day01_part2,,,1756485309,64
day01_part2,,,1766627658,65
day01_part2,,,1741863533,66
day01_part2,,,1896613299,67
day01_part2,,,1902797774,68
day01_part2,,,2226708102,69
day01_part2,,,1927398225,70
day01_part2,,,1935806917,71
day01_part2,,,1923403951,72
day01_part2,,,1920093190,73
day01_part2,,,2055416831,74
day01_part2,,,1990006068,75
day01_part2,,,1991730748,76
day01_part2,,,2091968838,77
day01_part2,,,2137243725,78
day01_part2,,,2163585507,79
day01_part2,,,2263861411,80
day01_part2,,,2112214827,81
day01_part2,,,2104672239,82
day01_part2,,,2361652180,83
day01_part2,,,2356676059,84
day01_part2,,,2315108626,85
day01_part2,,,2414270112,86
day01_part2,,,2552276030,87
day01_part2,,,2416239258,88
day01_part2,,,2342645240,89
day01_part2,,,2466708864,90
day01_part2,,,2502693015,91
day01_part2,,,2979761778,92
day01_part2,,,2768309937,93
day01_part2,,,2913078490,94
day01_part2,,,2905003351,95
day01_part2,,,2485428898,96
day01_part2,,,2604546096,97
day01_part2,,,2767714340,98
day01_part2,,,3156608669,99
day01_part2,,,2788882868,100
