group,function,value,sample_time_nanos,iteration_count
day01_part1,Pre-Parse_string,,2284761,5698
day01_part1,Pre-Parse_string,,3354644,11396
day01_part1,Pre-Parse_string,,4714796,17094
day01_part1,Pre-Parse_string,,17069330,22792
day01_part1,Pre-Parse_string,,11369922,28490
day01_part1,Pre-Parse_string,,7489402,34188
day01_part1,Pre-Parse_string,,9382043,39886
day01_part1,Pre-Parse_string,,6402210,45584
day01_part1,Pre-Parse_string,,8314081,51282
day01_part1,Pre-Parse_string,,10814414,56980
day01_part1,Pre-Parse_string,,14135313,62678
day01_part1,Pre-Parse_string,,9564437,68376
day01_part1,Pre-Parse_string,,9906723,74074
day01_part1,Pre-Parse_string,,11062881,79772
day01_part1,Pre-Parse_string,,12478085,85470
day01_part1,Pre-Parse_string,,13285293,91168
day01_part1,Pre-Parse_string,,19068603,96866
day01_part1,Pre-Parse_string,,16408090,102564
day01_part1,Pre-Parse_string,,15926545,108262
day01_part1,Pre-Parse_string,,14574943,113960
day01_part1,Pre-Parse_string,,15512828,119658
day01_part1,Pre-Parse_string,,17305013,125356
day01_part1,Pre-Parse_string,,18886088,131054
day01_part1,Pre-Parse_string,,23012116,136752
day01_part1,Pre-Parse_string,,18800504,142450
day01_part1,Pre-Parse_string,,18252395,148148
day01_part1,Pre-Parse_string,,18948103,153846
day01_part1,Pre-Parse_string,,19129305,159544
day01_part1,Pre-Parse_string,,18501447,165242
day01_part1,Pre-Parse_string,,19557495,170940
day01_part1,Pre-Parse_string,,20277134,176638
day01_part1,Pre-Parse_string,,28576363,182336
day01_part1,Pre-Parse_string,,27827106,188034
day01_part1,Pre-Parse_string,,23526546,193732
day01_part1,Pre-Parse_string,,22302108,199430
day01_part1,Pre-Parse_string,,31218955,205128
day01_part1,Pre-Parse_string,,29519663,210826
day01_part1,Pre-Parse_string,,30160434,216524
day01_part1,Pre-Parse_string,,34059886,222222
day01_part1,Pre-Parse_string,,41590345,227920
day01_part1,Pre-Parse_string,,36086703,233618
day01_part1,Pre-Parse_string,,34323655,239316
day01_part1,Pre-Parse_string,,36500017,245014
day01_part1,Pre-Parse_string,,33739587,250712
day01_part1,Pre-Parse_string,,34368108,256410
day01_part1,Pre-Parse_string,,37274454,262108
day01_part1,Pre-Parse_string,,35581880,267806
day01_part1,Pre-Parse_string,,36859269,273504
day01_part1,Pre-Parse_string,,41989237,279202
day01_part1,Pre-Parse_string,,42792391,284900
day01_part1,Pre-Parse_string,,36261416,290598
day01_part1,Pre-Parse_string,,40169730,296296
day01_part1,Pre-Parse_string,,34750780,301994
day01_part1,Pre-Parse_string,,36951593,307692
day01_part1,Pre-Parse_string,,35783781,313390
day01_part1,Pre-Parse_string,,38144633,319088
day01_part1,Pre-Parse_string,,39990477,324786
day01_part1,Pre-Parse_string,,47393389,330484
day01_part1,Pre-Parse_string,,41210135,336182
day01_part1,Pre-Parse_string,,38823528,341880
day01_part1,Pre-Parse_string,,44040641,347578
day01_part1,Pre-Parse_string,,39697513,353276
day01_part1,Pre-Parse_string,,44022654,358974
day01_part1,Pre-Parse_string,,44595141,364672
day01_part1,Pre-Parse_string,,44762280,370370
day01_part1,Pre-Parse_string,,42586377,376068
day01_part1,Pre-Parse_string,,43446891,381766
day01_part1,Pre-Parse_string,,48341134,387464
day01_part1,Pre-Parse_string,,50784655,393162
day01_part1,Pre-Parse_string,,53426494,398860
day01_part1,Pre-Parse_string,,55524879,404558
day01_part1,Pre-Parse_string,,49240912,410256
day01_part1,Pre-Parse_string,,50018619,415954
day01_part1,Pre-Parse_string,,47509311,421652
day01_part1,Pre-Parse_string,,50262675,427350
day01_part1,Pre-Parse_string,,50254504,433048
day01_part1,Pre-Parse_string,,53615226,438746
day01_part1,Pre-Parse_string,,52724732,444444
day01_part1,Pre-Parse_string,,51179620,450142
day01_part1,Pre-Parse_string,,124110924,455840
day01_part1,Pre-Parse_string,,69964808,461538
day01_part1,Pre-Parse_string,,54518340,467236
day01_part1,Pre-Parse_string,,54271521,472934
day01_part1,Pre-Parse_string,,55836569,478632
day01_part1,Pre-Parse_string,,53879670,484330
day01_part1,Pre-Parse_string,,59226369,490028
day01_part1,Pre-Parse_string,,58840816,495726
day01_part1,Pre-Parse_string,,71339755,501424
day01_part1,Pre-Parse_string,,73983849,507122
day01_part1,Pre-Parse_string,,66820030,512820
day01_part1,Pre-Parse_string,,64091277,518518
day01_part1,Pre-Parse_string,,70551008,524216
day01_part1,Pre-Parse_string,,62983794,529914
day01_part1,Pre-Parse_string,,64676099,535612
day01_part1,Pre-Parse_string,,63994993,541310
day01_part1,Pre-Parse_string,,64304279,547008
day01_part1,Pre-Parse_string,,63452929,552706
day01_part1,Pre-Parse_string,,65922419,558404
day01_part1,Pre-Parse_string,,63692531,564102
day01_part1,Pre-Parse_string,,68149168,569800
