group,function,value,sample_time_nanos,iteration_count
day01_part1,Pre-Parse_string_HashMap,,831934,6842
day01_part1,Pre-Parse_string_HashMap,,1596596,13684
day01_part1,Pre-Parse_string_HashMap,,2533793,20526
day01_part1,Pre-Parse_string_HashMap,,3014630,27368
day01_part1,Pre-Parse_string_HashMap,,3745969,34210
day01_part1,Pre-Parse_string_HashMap,,5020306,41052
day01_part1,Pre-Parse_string_HashMap,,6086485,47894
day01_part1,Pre-Parse_string_HashMap,,6929949,54736
day01_part1,Pre-Parse_string_HashMap,,7864671,61578
day01_part1,Pre-Parse_string_HashMap,,7977021,68420
day01_part1,Pre-Parse_string_HashMap,,9344429,75262
day01_part1,Pre-Parse_string_HashMap,,8984621,82104
day01_part1,Pre-Parse_string_HashMap,,10597659,88946
day01_part1,Pre-Parse_string_HashMap,,11138056,95788
day01_part1,Pre-Parse_string_HashMap,,11399391,102630
day01_part1,Pre-Parse_string_HashMap,,14596424,109472
day01_part1,Pre-Parse_string_HashMap,,16501092,116314
day01_part1,Pre-Parse_string_HashMap,,16095455,123156
day01_part1,Pre-Parse_string_HashMap,,16340778,129998
day01_part1,Pre-Parse_string_HashMap,,19687113,136840
day01_part1,Pre-Parse_string_HashMap,,15736235,143682
day01_part1,Pre-Parse_string_HashMap,,18221174,150524
day01_part1,Pre-Parse_string_HashMap,,17859373,157366
day01_part1,Pre-Parse_string_HashMap,,29083607,164208
day01_part1,Pre-Parse_string_HashMap,,47159554,171050
day01_part1,Pre-Parse_string_HashMap,,34195785,177892
day01_part1,Pre-Parse_string_HashMap,,29366430,184734
day01_part1,Pre-Parse_string_HashMap,,25758555,191576
day01_part1,Pre-Parse_string_HashMap,,24878137,198418
day01_part1,Pre-Parse_string_HashMap,,22738633,205260
day01_part1,Pre-Parse_string_HashMap,,23715916,212102
day01_part1,Pre-Parse_string_HashMap,,22955541,218944
day01_part1,Pre-Parse_string_HashMap,,26499400,225786
day01_part1,Pre-Parse_string_HashMap,,26765039,232628
day01_part1,Pre-Parse_string_HashMap,,26617805,239470
day01_part1,Pre-Parse_string_HashMap,,28113624,246312
day01_part1,Pre-Parse_string_HashMap,,30829360,253154
day01_part1,Pre-Parse_string_HashMap,,32626249,259996
day01_part1,Pre-Parse_string_HashMap,,34317891,266838
day01_part1,Pre-Parse_string_HashMap,,39631298,273680
day01_part1,Pre-Parse_string_HashMap,,34891205,280522
day01_part1,Pre-Parse_string_HashMap,,32270309,287364
day01_part1,Pre-Parse_string_HashMap,,32914444,294206
day01_part1,Pre-Parse_string_HashMap,,37072855,301048
day01_part1,Pre-Parse_string_HashMap,,39815296,307890
day01_part1,Pre-Parse_string_HashMap,,40304122,314732
day01_part1,Pre-Parse_string_HashMap,,38705805,321574
day01_part1,Pre-Parse_string_HashMap,,36005552,328416
day01_part1,Pre-Parse_string_HashMap,,42548766,335258
day01_part1,Pre-Parse_string_HashMap,,39616800,342100
day01_part1,Pre-Parse_string_HashMap,,46489562,348942
day01_part1,Pre-Parse_string_HashMap,,39664052,355784
day01_part1,Pre-Parse_string_HashMap,,44777996,362626
day01_part1,Pre-Parse_string_HashMap,,45101777,369468
day01_part1,Pre-Parse_string_HashMap,,43381321,376310
day01_part1,Pre-Parse_string_HashMap,,43853293,383152
day01_part1,Pre-Parse_string_HashMap,,45172862,389994
day01_part1,Pre-Parse_string_HashMap,,44359616,396836
day01_part1,Pre-Parse_string_HashMap,,45757676,403678
day01_part1,Pre-Parse_string_HashMap,,50066475,410520
day01_part1,Pre-Parse_string_HashMap,,47754864,417362
day01_part1,Pre-Parse_string_HashMap,,49881694,424204
day01_part1,Pre-Parse_string_HashMap,,53206999,431046
day01_part1,Pre-Parse_string_HashMap,,49745490,437888
day01_part1,Pre-Parse_string_HashMap,,52751081,444730
day01_part1,Pre-Parse_string_HashMap,,53409932,451572
day01_part1,Pre-Parse_string_HashMap,,70379728,458414
day01_part1,Pre-Parse_string_HashMap,,52774600,465256
day01_part1,Pre-Parse_string_HashMap,,54765940,472098
day01_part1,Pre-Parse_string_HashMap,,55033294,478940
day01_part1,Pre-Parse_string_HashMap,,58398746,485782
day01_part1,Pre-Parse_string_HashMap,,55617800,492624
day01_part1,Pre-Parse_string_HashMap,,55306727,499466
day01_part1,Pre-Parse_string_HashMap,,58551597,506308
day01_part1,Pre-Parse_string_HashMap,,59685344,513150
day01_part1,Pre-Parse_string_HashMap,,58042248,519992
