group,function,value,sample_time_nanos,iteration_count
day01_part1,Pre-Parse_string_HashSet,,634860,4993
day01_part1,Pre-Parse_string_HashSet,,1211930,9986
day01_part1,Pre-Parse_string_HashSet,,1750525,14979
day01_part1,Pre-Parse_string_HashSet,,2334011,19972
day01_part1,Pre-Parse_string_HashSet,,2951732,24965
day01_part1,Pre-Parse_string_HashSet,,4035284,29958
day01_part1,Pre-Parse_string_HashSet,,4481527,34951
day01_part1,Pre-Parse_string_HashSet,,4763663,39944
day01_part1,Pre-Parse_string_HashSet,,5421933,44937
day01_part1,Pre-Parse_string_HashSet,,6481409,49930
day01_part1,Pre-Parse_string_HashSet,,6566604,54923
day01_part1,Pre-Parse_string_HashSet,,7012344,59916
day01_part1,Pre-Parse_string_HashSet,,7620219,64909
day01_part1,Pre-Parse_string_HashSet,,8749652,69902
day01_part1,Pre-Parse_string_HashSet,,9115120,74895
day01_part1,Pre-Parse_string_HashSet,,9412457,79888
day01_part1,Pre-Parse_string_HashSet,,9861510,84881
day01_part1,Pre-Parse_string_HashSet,,10538625,89874
day01_part1,Pre-Parse_string_HashSet,,11230716,94867
day01_part1,Pre-Parse_string_HashSet,,12014487,99860
day01_part1,Pre-Parse_string_HashSet,,12362282,104853
day01_part1,Pre-Parse_string_HashSet,,13029813,109846
day01_part1,Pre-Parse_string_HashSet,,13660636,114839
day01_part1,Pre-Parse_string_HashSet,,15719777,119832
day01_part1,Pre-Parse_string_HashSet,,15212578,124825
day01_part1,Pre-Parse_string_HashSet,,15592631,129818
day01_part1,Pre-Parse_string_HashSet,,15819388,134811
day01_part1,Pre-Parse_string_HashSet,,16533789,139804
day01_part1,Pre-Parse_string_HashSet,,17155844,144797
day01_part1,Pre-Parse_string_HashSet,,17761283,149790
day01_part1,Pre-Parse_string_HashSet,,18176154,154783
day01_part1,Pre-Parse_string_HashSet,,18883801,159776
day01_part1,Pre-Parse_string_HashSet,,19907874,164769
day01_part1,Pre-Parse_string_HashSet,,25876904,169762
day01_part1,Pre-Parse_string_HashSet,,24244395,174755
day01_part1,Pre-Parse_string_HashSet,,22394091,179748
day01_part1,Pre-Parse_string_HashSet,,21725690,184741
day01_part1,Pre-Parse_string_HashSet,,22582045,189734
