group,function,value,sample_time_nanos,iteration_count
day01_part1,,,1236725,33
day01_part1,,,2513943,66
day01_part1,,,4726178,99
day01_part1,,,3632799,132
day01_part1,,,4641943,165
day01_part1,,,6680884,198
day01_part1,,,6301208,231
day01_part1,,,7045393,264
day01_part1,,,8963129,297
day01_part1,,,9590057,330
day01_part1,,,10376302,363
day01_part1,,,12743766,396
day01_part1,,,12396523,429
day01_part1,,,13480435,462
day01_part1,,,12075551,495
day01_part1,,,13034196,528
day01_part1,,,14402494,561
day01_part1,,,14310629,594
day01_part1,,,15747678,627
day01_part1,,,18312703,660
day01_part1,,,22024758,693
day01_part1,,,25007619,726
day01_part1,,,21122243,759
day01_part1,,,19280713,792
day01_part1,,,19500142,825
day01_part1,,,20651930,858
day01_part1,,,27536636,891
day01_part1,,,21878186,924
day01_part1,,,24118056,957
day01_part1,,,24278147,990
day01_part1,,,24282546,1023
day01_part1,,,29066641,1056
day01_part1,,,27784141,1089
day01_part1,,,27927804,1122
day01_part1,,,29436576,1155
day01_part1,,,28701963,1188
day01_part1,,,31473100,1221
day01_part1,,,30910872,1254
day01_part1,,,36238659,1287
day01_part1,,,33512766,1320
day01_part1,,,33509962,1353
day01_part1,,,34471713,1386
day01_part1,,,36200530,1419
day01_part1,,,36044279,1452
day01_part1,,,35385956,1485
day01_part1,,,39569898,1518
day01_part1,,,38046246,1551
day01_part1,,,37723428,1584
day01_part1,,,38980001,1617
day01_part1,,,39235256,1650
day01_part1,,,40538450,1683
day01_part1,,,40978630,1716
day01_part1,,,45535356,1749
day01_part1,,,56991835,1782
day01_part1,,,82574303,1815
day01_part1,,,71544235,1848
day01_part1,,,51106279,1881
day01_part1,,,51069762,1914
day01_part1,,,47089957,1947
day01_part1,,,47201478,1980
day01_part1,,,51816563,2013
day01_part1,,,61058283,2046
day01_part1,,,59474345,2079
day01_part1,,,68579204,2112
day01_part1,,,56043281,2145
day01_part1,,,60281716,2178
day01_part1,,,59691647,2211
day01_part1,,,62927043,2244
day01_part1,,,56818329,2277
day01_part1,,,55482257,2310
day01_part1,,,61566933,2343
day01_part1,,,69279592,2376
day01_part1,,,82272542,2409
day01_part1,,,70680441,2442
day01_part1,,,67101867,2475
day01_part1,,,67157798,2508
day01_part1,,,65847225,2541
day01_part1,,,74756428,2574
day01_part1,,,68597074,2607
day01_part1,,,67161285,2640
day01_part1,,,69383810,2673
day01_part1,,,85830667,2706
day01_part1,,,78924169,2739
day01_part1,,,77292446,2772
day01_part1,,,85947175,2805
day01_part1,,,79032342,2838
day01_part1,,,78380407,2871
day01_part1,,,72041891,2904
day01_part1,,,75554711,2937
day01_part1,,,76099800,2970
day01_part1,,,84557644,3003
day01_part1,,,91965780,3036
day01_part1,,,91481754,3069
day01_part1,,,89188409,3102
day01_part1,,,95981086,3135
day01_part1,,,85135188,3168
day01_part1,,,88001300,3201
day01_part1,,,80218615,3234
day01_part1,,,81257158,3267
day01_part1,,,90493651,3300
