group,function,value,sample_time_nanos,iteration_count
day01_part2,,,40084163,1
day01_part2,,,85886153,2
day01_part2,,,137037014,3
day01_part2,,,193527588,4
day01_part2,,,240207628,5
day01_part2,,,176391475,6
day01_part2,,,257559755,7
day01_part2,,,256110136,8
day01_part2,,,253355334,9
day01_part2,,,329644258,10
day01_part2,,,300389883,11
day01_part2,,,360900345,12
day01_part2,,,571106665,13
day01_part2,,,519155840,14
day01_part2,,,749574560,15
day01_part2,,,844028664,16
day01_part2,,,521261653,17
day01_part2,,,522422298,18
day01_part2,,,566455056,19
day01_part2,,,546703858,20
day01_part2,,,581789418,21
day01_part2,,,585633895,22
day01_part2,,,601755265,23
day01_part2,,,664205619,24
day01_part2,,,693847956,25
day01_part2,,,687991207,26
day01_part2,,,759554955,27
day01_part2,,,850053819,28
day01_part2,,,1208102630,29
day01_part2,,,982945837,30
day01_part2,,,901642599,31
day01_part2,,,830638619,32
day01_part2,,,852246739,33
day01_part2,,,928840404,34
day01_part2,,,1182531867,35
day01_part2,,,1254344277,36
day01_part2,,,1111453155,37
day01_part2,,,1063681491,38
day01_part2,,,1300751745,39
day01_part2,,,1267096324,40
day01_part2,,,1301191941,41
day01_part2,,,1348559392,42
day01_part2,,,1217956322,43
day01_part2,,,1170024251,44
day01_part2,,,1168138622,45
day01_part2,,,1188259137,46
day01_part2,,,1199438207,47
day01_part2,,,1385958568,48
day01_part2,,,1309980698,49
day01_part2,,,1500798641,50
day01_part2,,,1549347216,51
day01_part2,,,1700378033,52
day01_part2,,,1348213266,53
day01_part2,,,1651758668,54
day01_part2,,,1855571135,55
day01_part2,,,1815628286,56
day01_part2,,,1539982507,57
day01_part2,,,1943445443,58
day01_part2,,,1924592508,59
day01_part2,,,1878937607,60
day01_part2,,,1741206704,61
day01_part2,,,1898153024,62
day01_part2,,,1767601535,63
day01_part2,,,1686940059,64
day01_part2,,,2427307490,65
day01_part2,,,1748883253,66
day01_part2,,,1910280907,67
day01_part2,,,2249601509,68
day01_part2,,,2280975890,69
day01_part2,,,1805234757,70
day01_part2,,,1813225798,71
day01_part2,,,2288893706,72
day01_part2,,,2017011100,73
day01_part2,,,1919146476,74
day01_part2,,,1987270382,75
day01_part2,,,2217100381,76
day01_part2,,,2014041321,77
day01_part2,,,2345839562,78
day01_part2,,,2251892214,79
day01_part2,,,2737921208,80
day01_part2,,,2924239481,81
day01_part2,,,2201430866,82
day01_part2,,,2329421162,83
day01_part2,,,2141477734,84
day01_part2,,,2135858812,85
day01_part2,,,2233878898,86
day01_part2,,,2339320788,87
day01_part2,,,2159188551,88
day01_part2,,,2198733597,89
day01_part2,,,2510621836,90
day01_part2,,,2384156748,91
day01_part2,,,2322906352,92
day01_part2,,,2346661248,93
day01_part2,,,2449753318,94
day01_part2,,,3257565590,95
day01_part2,,,2698204261,96
day01_part2,,,2774981998,97
day01_part2,,,2683719181,98
day01_part2,,,2515821196,99
day01_part2,,,3055901297,100
