group,function,value,sample_time_nanos,iteration_count
day02_part1,Parse_string_dynamically,,1343819,4
day02_part1,Parse_string_dynamically,,2643561,8
day02_part1,Parse_string_dynamically,,3931840,12
day02_part1,Parse_string_dynamically,,4765316,16
day02_part1,Parse_string_dynamically,,5711376,20
day02_part1,Parse_string_dynamically,,8669839,24
day02_part1,Parse_string_dynamically,,8160083,28
day02_part1,Parse_string_dynamically,,9856476,32
day02_part1,Parse_string_dynamically,,10511885,36
day02_part1,Parse_string_dynamically,,11656065,40
day02_part1,Parse_string_dynamically,,14637483,44
day02_part1,Parse_string_dynamically,,13946664,48
day02_part1,Parse_string_dynamically,,15133328,52
day02_part1,Parse_string_dynamically,,16264581,56
day02_part1,Parse_string_dynamically,,17161380,60
day02_part1,Parse_string_dynamically,,18666339,64
day02_part1,Parse_string_dynamically,,19525938,68
day02_part1,Parse_string_dynamically,,21100934,72
day02_part1,Parse_string_dynamically,,22220992,76
day02_part1,Parse_string_dynamically,,22903624,80
day02_part1,Parse_string_dynamically,,27200095,84
day02_part1,Parse_string_dynamically,,25458830,88
day02_part1,Parse_string_dynamically,,27585801,92
day02_part1,Parse_string_dynamically,,28056349,96
day02_part1,Parse_string_dynamically,,28885800,100
day02_part1,Parse_string_dynamically,,32291640,104
day02_part1,Parse_string_dynamically,,35672440,108
day02_part1,Parse_string_dynamically,,35446767,112
day02_part1,Parse_string_dynamically,,33822751,116
day02_part1,Parse_string_dynamically,,37671760,120
day02_part1,Parse_string_dynamically,,36725450,124
day02_part1,Parse_string_dynamically,,36979917,128
day02_part1,Parse_string_dynamically,,38312444,132
day02_part1,Parse_string_dynamically,,39764556,136
day02_part1,Parse_string_dynamically,,42724542,140
day02_part1,Parse_string_dynamically,,41504178,144
day02_part1,Parse_string_dynamically,,42911422,148
day02_part1,Parse_string_dynamically,,43811745,152
day02_part1,Parse_string_dynamically,,50820544,156
day02_part1,Parse_string_dynamically,,49193422,160
day02_part1,Parse_string_dynamically,,49060830,164
day02_part1,Parse_string_dynamically,,49323545,168
day02_part1,Parse_string_dynamically,,50100055,172
day02_part1,Parse_string_dynamically,,51386586,176
day02_part1,Parse_string_dynamically,,56628186,180
day02_part1,Parse_string_dynamically,,61289114,184
day02_part1,Parse_string_dynamically,,56777840,188
day02_part1,Parse_string_dynamically,,58549541,192
day02_part1,Parse_string_dynamically,,60460572,196
day02_part1,Parse_string_dynamically,,61370932,200
day02_part1,Parse_string_dynamically,,60068025,204
day02_part1,Parse_string_dynamically,,60367640,208
day02_part1,Parse_string_dynamically,,62212053,212
day02_part1,Parse_string_dynamically,,64921684,216
day02_part1,Parse_string_dynamically,,66361300,220
day02_part1,Parse_string_dynamically,,69726765,224
day02_part1,Parse_string_dynamically,,70622624,228
day02_part1,Parse_string_dynamically,,69942179,232
day02_part1,Parse_string_dynamically,,71820170,236
day02_part1,Parse_string_dynamically,,69748915,240
day02_part1,Parse_string_dynamically,,71498402,244
day02_part1,Parse_string_dynamically,,75245666,248
day02_part1,Parse_string_dynamically,,84544639,252
day02_part1,Parse_string_dynamically,,78653331,256
day02_part1,Parse_string_dynamically,,84897828,260
day02_part1,Parse_string_dynamically,,84916756,264
day02_part1,Parse_string_dynamically,,81204082,268
day02_part1,Parse_string_dynamically,,79555282,272
day02_part1,Parse_string_dynamically,,93023001,276
day02_part1,Parse_string_dynamically,,85971338,280
day02_part1,Parse_string_dynamically,,99594098,284
day02_part1,Parse_string_dynamically,,93568221,288
day02_part1,Parse_string_dynamically,,88443382,292
day02_part1,Parse_string_dynamically,,92704915,296
day02_part1,Parse_string_dynamically,,96528921,300
day02_part1,Parse_string_dynamically,,90655460,304
day02_part1,Parse_string_dynamically,,94441433,308
day02_part1,Parse_string_dynamically,,95949535,312
day02_part1,Parse_string_dynamically,,98192485,316
day02_part1,Parse_string_dynamically,,108202064,320
day02_part1,Parse_string_dynamically,,100065744,324
day02_part1,Parse_string_dynamically,,113937631,328
day02_part1,Parse_string_dynamically,,104244983,332
day02_part1,Parse_string_dynamically,,110618055,336
day02_part1,Parse_string_dynamically,,112843790,340
day02_part1,Parse_string_dynamically,,110886893,344
day02_part1,Parse_string_dynamically,,109135431,348
day02_part1,Parse_string_dynamically,,112910764,352
day02_part1,Parse_string_dynamically,,116376090,356
day02_part1,Parse_string_dynamically,,113224464,360
day02_part1,Parse_string_dynamically,,111213308,364
day02_part1,Parse_string_dynamically,,115259084,368
day02_part1,Parse_string_dynamically,,118268311,372
day02_part1,Parse_string_dynamically,,120757635,376
day02_part1,Parse_string_dynamically,,118655809,380
day02_part1,Parse_string_dynamically,,119416850,384
day02_part1,Parse_string_dynamically,,116600330,388
day02_part1,Parse_string_dynamically,,134988854,392
day02_part1,Parse_string_dynamically,,140587024,396
day02_part1,Parse_string_dynamically,,127356714,400
