group,function,value,sample_time_nanos,iteration_count
day03_part1,Pre-parsed_string_and_memoization,,126613959,1
day03_part1,Pre-parsed_string_and_memoization,,255593147,2
day03_part1,Pre-parsed_string_and_memoization,,389825521,3
day03_part1,Pre-parsed_string_and_memoization,,525779671,4
day03_part1,Pre-parsed_string_and_memoization,,658320241,5
day03_part1,Pre-parsed_string_and_memoization,,819622017,6
day03_part1,Pre-parsed_string_and_memoization,,913771587,7
day03_part1,Pre-parsed_string_and_memoization,,1033772677,8
day03_part1,Pre-parsed_string_and_memoization,,1155861324,9
day03_part1,Pre-parsed_string_and_memoization,,1321826936,10
day03_part1,Pre-parsed_string_and_memoization,,1428162061,11
day03_part1,Pre-parsed_string_and_memoization,,1542658431,12
day03_part1,Pre-parsed_string_and_memoization,,1715489275,13
day03_part1,Pre-parsed_string_and_memoization,,1866200168,14
day03_part1,Pre-parsed_string_and_memoization,,1928313703,15
day03_part1,Pre-parsed_string_and_memoization,,2152738227,16
day03_part1,Pre-parsed_string_and_memoization,,2210573254,17
day03_part1,Pre-parsed_string_and_memoization,,2360188559,18
day03_part1,Pre-parsed_string_and_memoization,,2467241192,19
day03_part1,Pre-parsed_string_and_memoization,,2640726259,20
day03_part1,Pre-parsed_string_and_memoization,,2699810034,21
day03_part1,Pre-parsed_string_and_memoization,,2904489360,22
day03_part1,Pre-parsed_string_and_memoization,,3017709915,23
day03_part1,Pre-parsed_string_and_memoization,,3108197589,24
day03_part1,Pre-parsed_string_and_memoization,,3324873439,25
day03_part1,Pre-parsed_string_and_memoization,,3363687988,26
day03_part1,Pre-parsed_string_and_memoization,,3537427981,27
day03_part1,Pre-parsed_string_and_memoization,,3651428331,28
day03_part1,Pre-parsed_string_and_memoization,,3777167157,29
day03_part1,Pre-parsed_string_and_memoization,,3916336866,30
day03_part1,Pre-parsed_string_and_memoization,,4040475962,31
day03_part1,Pre-parsed_string_and_memoization,,4186377624,32
day03_part1,Pre-parsed_string_and_memoization,,4323657152,33
day03_part1,Pre-parsed_string_and_memoization,,4454275421,34
day03_part1,Pre-parsed_string_and_memoization,,4584734069,35
day03_part1,Pre-parsed_string_and_memoization,,4685045102,36
day03_part1,Pre-parsed_string_and_memoization,,4849475063,37
day03_part1,Pre-parsed_string_and_memoization,,4997170851,38
day03_part1,Pre-parsed_string_and_memoization,,5078770668,39
day03_part1,Pre-parsed_string_and_memoization,,5312861510,40
day03_part1,Pre-parsed_string_and_memoization,,5383904848,41
day03_part1,Pre-parsed_string_and_memoization,,5487124715,42
day03_part1,Pre-parsed_string_and_memoization,,5616726747,43
day03_part1,Pre-parsed_string_and_memoization,,5761834105,44
day03_part1,Pre-parsed_string_and_memoization,,5949199420,45
day03_part1,Pre-parsed_string_and_memoization,,6016914922,46
day03_part1,Pre-parsed_string_and_memoization,,6141060893,47
day03_part1,Pre-parsed_string_and_memoization,,6271586500,48
day03_part1,Pre-parsed_string_and_memoization,,6397898835,49
day03_part1,Pre-parsed_string_and_memoization,,6576738978,50
day03_part1,Pre-parsed_string_and_memoization,,6706675419,51
day03_part1,Pre-parsed_string_and_memoization,,6766158518,52
