group,function,value,sample_time_nanos,iteration_count
day03_part2,Pre-parsed_string_and_memoization,,131218144,1
day03_part2,Pre-parsed_string_and_memoization,,266222497,2
day03_part2,Pre-parsed_string_and_memoization,,386251445,3
day03_part2,Pre-parsed_string_and_memoization,,513588718,4
day03_part2,Pre-parsed_string_and_memoization,,640571233,5
day03_part2,Pre-parsed_string_and_memoization,,770633397,6
day03_part2,Pre-parsed_string_and_memoization,,932040273,7
day03_part2,Pre-parsed_string_and_memoization,,1053096720,8
day03_part2,Pre-parsed_string_and_memoization,,1197398752,9
day03_part2,Pre-parsed_string_and_memoization,,1395763220,10
day03_part2,Pre-parsed_string_and_memoization,,1409628452,11
day03_part2,Pre-parsed_string_and_memoization,,1581087102,12
day03_part2,Pre-parsed_string_and_memoization,,1728368192,13
day03_part2,Pre-parsed_string_and_memoization,,1798224826,14
day03_part2,Pre-parsed_string_and_memoization,,1958113082,15
day03_part2,Pre-parsed_string_and_memoization,,2080059244,16
day03_part2,Pre-parsed_string_and_memoization,,2318878094,17
day03_part2,Pre-parsed_string_and_memoization,,2307691591,18
day03_part2,Pre-parsed_string_and_memoization,,2475654781,19
day03_part2,Pre-parsed_string_and_memoization,,2634051116,20
day03_part2,Pre-parsed_string_and_memoization,,2746874165,21
day03_part2,Pre-parsed_string_and_memoization,,2846109311,22
day03_part2,Pre-parsed_string_and_memoization,,3026574814,23
day03_part2,Pre-parsed_string_and_memoization,,3144606388,24
day03_part2,Pre-parsed_string_and_memoization,,3288730080,25
day03_part2,Pre-parsed_string_and_memoization,,3392316808,26
day03_part2,Pre-parsed_string_and_memoization,,3547957146,27
day03_part2,Pre-parsed_string_and_memoization,,3633889446,28
day03_part2,Pre-parsed_string_and_memoization,,3789649599,29
day03_part2,Pre-parsed_string_and_memoization,,3981052055,30
day03_part2,Pre-parsed_string_and_memoization,,4007242592,31
day03_part2,Pre-parsed_string_and_memoization,,4189769020,32
day03_part2,Pre-parsed_string_and_memoization,,4244513751,33
day03_part2,Pre-parsed_string_and_memoization,,4445521261,34
day03_part2,Pre-parsed_string_and_memoization,,4612505433,35
day03_part2,Pre-parsed_string_and_memoization,,4723083594,36
day03_part2,Pre-parsed_string_and_memoization,,4834561019,37
day03_part2,Pre-parsed_string_and_memoization,,5022620757,38
day03_part2,Pre-parsed_string_and_memoization,,5075755058,39
day03_part2,Pre-parsed_string_and_memoization,,5251460818,40
day03_part2,Pre-parsed_string_and_memoization,,5452307000,41
day03_part2,Pre-parsed_string_and_memoization,,5435120907,42
day03_part2,Pre-parsed_string_and_memoization,,5722153832,43
day03_part2,Pre-parsed_string_and_memoization,,5786586520,44
day03_part2,Pre-parsed_string_and_memoization,,5845194006,45
day03_part2,Pre-parsed_string_and_memoization,,6082501955,46
day03_part2,Pre-parsed_string_and_memoization,,6116626965,47
day03_part2,Pre-parsed_string_and_memoization,,6242655744,48
day03_part2,Pre-parsed_string_and_memoization,,6451437730,49
day03_part2,Pre-parsed_string_and_memoization,,6518237604,50
day03_part2,Pre-parsed_string_and_memoization,,6669626984,51
day03_part2,Pre-parsed_string_and_memoization,,6807803887,52
day03_part2,Pre-parsed_string_and_memoization,,6948880220,53
day03_part2,Pre-parsed_string_and_memoization,,7030632638,54
day03_part2,Pre-parsed_string_and_memoization,,7177301731,55
day03_part2,Pre-parsed_string_and_memoization,,7336636959,56
day03_part2,Pre-parsed_string_and_memoization,,7442157546,57
day03_part2,Pre-parsed_string_and_memoization,,7563420645,58
day03_part2,Pre-parsed_string_and_memoization,,7736877252,59
day03_part2,Pre-parsed_string_and_memoization,,7791885691,60
day03_part2,Pre-parsed_string_and_memoization,,8016805844,61
