group,function,value,sample_time_nanos,iteration_count
day03_part2,Pre-parsed_string_and_ndarray,,51929709,1
day03_part2,Pre-parsed_string_and_ndarray,,99545466,2
day03_part2,Pre-parsed_string_and_ndarray,,147571554,3
day03_part2,Pre-parsed_string_and_ndarray,,200577956,4
day03_part2,Pre-parsed_string_and_ndarray,,247329175,5
day03_part2,Pre-parsed_string_and_ndarray,,297939931,6
day03_part2,Pre-parsed_string_and_ndarray,,350408129,7
day03_part2,Pre-parsed_string_and_ndarray,,395624821,8
day03_part2,Pre-parsed_string_and_ndarray,,441646114,9
day03_part2,Pre-parsed_string_and_ndarray,,483154979,10
day03_part2,Pre-parsed_string_and_ndarray,,535333623,11
day03_part2,Pre-parsed_string_and_ndarray,,579775085,12
day03_part2,Pre-parsed_string_and_ndarray,,626545265,13
day03_part2,Pre-parsed_string_and_ndarray,,692642293,14
day03_part2,Pre-parsed_string_and_ndarray,,780806777,15
day03_part2,Pre-parsed_string_and_ndarray,,799789684,16
day03_part2,Pre-parsed_string_and_ndarray,,825048579,17
day03_part2,Pre-parsed_string_and_ndarray,,934909836,18
day03_part2,Pre-parsed_string_and_ndarray,,918410112,19
day03_part2,Pre-parsed_string_and_ndarray,,989693071,20
day03_part2,Pre-parsed_string_and_ndarray,,1039522849,21
day03_part2,Pre-parsed_string_and_ndarray,,1096598739,22
day03_part2,Pre-parsed_string_and_ndarray,,1128892247,23
day03_part2,Pre-parsed_string_and_ndarray,,1161145627,24
day03_part2,Pre-parsed_string_and_ndarray,,1241722921,25
day03_part2,Pre-parsed_string_and_ndarray,,1302145537,26
day03_part2,Pre-parsed_string_and_ndarray,,1395873167,27
day03_part2,Pre-parsed_string_and_ndarray,,1369617274,28
day03_part2,Pre-parsed_string_and_ndarray,,1469835707,29
day03_part2,Pre-parsed_string_and_ndarray,,1474938647,30
day03_part2,Pre-parsed_string_and_ndarray,,1490527061,31
day03_part2,Pre-parsed_string_and_ndarray,,1588249538,32
day03_part2,Pre-parsed_string_and_ndarray,,1606922308,33
day03_part2,Pre-parsed_string_and_ndarray,,1685142072,34
day03_part2,Pre-parsed_string_and_ndarray,,1769601209,35
day03_part2,Pre-parsed_string_and_ndarray,,1754410113,36
day03_part2,Pre-parsed_string_and_ndarray,,1782930470,37
day03_part2,Pre-parsed_string_and_ndarray,,1920083145,38
day03_part2,Pre-parsed_string_and_ndarray,,2017847216,39
day03_part2,Pre-parsed_string_and_ndarray,,1976680179,40
day03_part2,Pre-parsed_string_and_ndarray,,2007531013,41
day03_part2,Pre-parsed_string_and_ndarray,,2066462785,42
day03_part2,Pre-parsed_string_and_ndarray,,2140801780,43
day03_part2,Pre-parsed_string_and_ndarray,,2177044914,44
day03_part2,Pre-parsed_string_and_ndarray,,2242158206,45
day03_part2,Pre-parsed_string_and_ndarray,,2301912546,46
day03_part2,Pre-parsed_string_and_ndarray,,2305879969,47
day03_part2,Pre-parsed_string_and_ndarray,,2390961772,48
day03_part2,Pre-parsed_string_and_ndarray,,2463803018,49
