group,function,value,sample_time_nanos,iteration_count
day04_part1,Pre-parse,,908321,17
day04_part1,Pre-parse,,1746839,34
day04_part1,Pre-parse,,2433573,51
day04_part1,Pre-parse,,3268374,68
day04_part1,Pre-parse,,4071166,85
day04_part1,Pre-parse,,4870787,102
day04_part1,Pre-parse,,7189037,119
day04_part1,Pre-parse,,7782101,136
day04_part1,Pre-parse,,8165909,153
day04_part1,Pre-parse,,8200947,170
day04_part1,Pre-parse,,9209559,187
day04_part1,Pre-parse,,9906608,204
day04_part1,Pre-parse,,10718546,221
day04_part1,Pre-parse,,12694348,238
day04_part1,Pre-parse,,12448042,255
day04_part1,Pre-parse,,13747094,272
day04_part1,Pre-parse,,14459804,289
day04_part1,Pre-parse,,15486071,306
day04_part1,Pre-parse,,16432376,323
day04_part1,Pre-parse,,17162659,340
day04_part1,Pre-parse,,18660711,357
day04_part1,Pre-parse,,19308119,374
day04_part1,Pre-parse,,23767220,391
day04_part1,Pre-parse,,22629869,408
day04_part1,Pre-parse,,23147593,425
day04_part1,Pre-parse,,27114730,442
day04_part1,Pre-parse,,25340901,459
day04_part1,Pre-parse,,26652151,476
day04_part1,Pre-parse,,30958040,493
day04_part1,Pre-parse,,26757989,510
day04_part1,Pre-parse,,27693392,527
day04_part1,Pre-parse,,28601297,544
day04_part1,Pre-parse,,30570244,561
day04_part1,Pre-parse,,28572982,578
day04_part1,Pre-parse,,29413099,595
day04_part1,Pre-parse,,31276644,612
day04_part1,Pre-parse,,32294681,629
day04_part1,Pre-parse,,33199402,646
day04_part1,Pre-parse,,35930728,663
day04_part1,Pre-parse,,37399654,680
day04_part1,Pre-parse,,38224015,697
day04_part1,Pre-parse,,40193342,714
day04_part1,Pre-parse,,41236499,731
day04_part1,Pre-parse,,42681914,748
day04_part1,Pre-parse,,39462376,765
day04_part1,Pre-parse,,40149789,782
day04_part1,Pre-parse,,40622695,799
day04_part1,Pre-parse,,41811149,816
day04_part1,Pre-parse,,43719354,833
day04_part1,Pre-parse,,42779126,850
day04_part1,Pre-parse,,43715780,867
day04_part1,Pre-parse,,45081080,884
day04_part1,Pre-parse,,61463292,901
day04_part1,Pre-parse,,53182645,918
day04_part1,Pre-parse,,49174043,935
day04_part1,Pre-parse,,52811180,952
day04_part1,Pre-parse,,53423576,969
day04_part1,Pre-parse,,61848762,986
day04_part1,Pre-parse,,54946948,1003
day04_part1,Pre-parse,,54281598,1020
day04_part1,Pre-parse,,53255216,1037
day04_part1,Pre-parse,,59772290,1054
day04_part1,Pre-parse,,57205010,1071
day04_part1,Pre-parse,,55235185,1088
day04_part1,Pre-parse,,55572726,1105
day04_part1,Pre-parse,,56283970,1122
day04_part1,Pre-parse,,57253441,1139
day04_part1,Pre-parse,,58051537,1156
day04_part1,Pre-parse,,58425704,1173
day04_part1,Pre-parse,,60032196,1190
day04_part1,Pre-parse,,68152410,1207
day04_part1,Pre-parse,,62686141,1224
day04_part1,Pre-parse,,64100124,1241
day04_part1,Pre-parse,,65470721,1258
day04_part1,Pre-parse,,67023265,1275
day04_part1,Pre-parse,,67969016,1292
day04_part1,Pre-parse,,68159602,1309
day04_part1,Pre-parse,,66345776,1326
day04_part1,Pre-parse,,67702673,1343
day04_part1,Pre-parse,,69297394,1360
day04_part1,Pre-parse,,70681885,1377
day04_part1,Pre-parse,,70472098,1394
day04_part1,Pre-parse,,69892174,1411
day04_part1,Pre-parse,,70194784,1428
day04_part1,Pre-parse,,70252769,1445
day04_part1,Pre-parse,,70486162,1462
day04_part1,Pre-parse,,73352060,1479
day04_part1,Pre-parse,,71994070,1496
day04_part1,Pre-parse,,76603650,1513
day04_part1,Pre-parse,,74961204,1530
day04_part1,Pre-parse,,77019998,1547
day04_part1,Pre-parse,,82225311,1564
day04_part1,Pre-parse,,79355420,1581
day04_part1,Pre-parse,,78353134,1598
day04_part1,Pre-parse,,80889001,1615
day04_part1,Pre-parse,,78675474,1632
day04_part1,Pre-parse,,79846517,1649
day04_part1,Pre-parse,,82251906,1666
day04_part1,Pre-parse,,84426892,1683
day04_part1,Pre-parse,,84178791,1700
