group,function,value,sample_time_nanos,iteration_count
day04_part1,Pre-parse_full,,811328,41
day04_part1,Pre-parse_full,,1595949,82
day04_part1,Pre-parse_full,,2429775,123
day04_part1,Pre-parse_full,,2878466,164
day04_part1,Pre-parse_full,,3600478,205
day04_part1,Pre-parse_full,,4319616,246
day04_part1,Pre-parse_full,,5172998,287
day04_part1,Pre-parse_full,,5755400,328
day04_part1,Pre-parse_full,,6470148,369
day04_part1,Pre-parse_full,,7436432,410
day04_part1,Pre-parse_full,,7965564,451
day04_part1,Pre-parse_full,,8662568,492
day04_part1,Pre-parse_full,,9629382,533
day04_part1,Pre-parse_full,,10483640,574
day04_part1,Pre-parse_full,,13069096,615
day04_part1,Pre-parse_full,,12098260,656
day04_part1,Pre-parse_full,,13911895,697
day04_part1,Pre-parse_full,,13500557,738
day04_part1,Pre-parse_full,,18186862,779
day04_part1,Pre-parse_full,,14601074,820
day04_part1,Pre-parse_full,,15179756,861
day04_part1,Pre-parse_full,,16090873,902
day04_part1,Pre-parse_full,,16775988,943
day04_part1,Pre-parse_full,,17529255,984
day04_part1,Pre-parse_full,,18179673,1025
day04_part1,Pre-parse_full,,18853599,1066
day04_part1,Pre-parse_full,,19840350,1107
day04_part1,Pre-parse_full,,20720990,1148
day04_part1,Pre-parse_full,,21798228,1189
day04_part1,Pre-parse_full,,22936918,1230
day04_part1,Pre-parse_full,,23473112,1271
day04_part1,Pre-parse_full,,24500291,1312
day04_part1,Pre-parse_full,,30547935,1353
day04_part1,Pre-parse_full,,29916771,1394
day04_part1,Pre-parse_full,,28276633,1435
day04_part1,Pre-parse_full,,27533321,1476
day04_part1,Pre-parse_full,,30337219,1517
day04_part1,Pre-parse_full,,33226036,1558
day04_part1,Pre-parse_full,,32059614,1599
day04_part1,Pre-parse_full,,33772919,1640
day04_part1,Pre-parse_full,,43779821,1681
day04_part1,Pre-parse_full,,40115183,1722
day04_part1,Pre-parse_full,,32876916,1763
day04_part1,Pre-parse_full,,33490268,1804
day04_part1,Pre-parse_full,,36151588,1845
day04_part1,Pre-parse_full,,37530454,1886
day04_part1,Pre-parse_full,,38351593,1927
day04_part1,Pre-parse_full,,36883882,1968
day04_part1,Pre-parse_full,,41047931,2009
day04_part1,Pre-parse_full,,45526329,2050
day04_part1,Pre-parse_full,,78403118,2091
day04_part1,Pre-parse_full,,69570372,2132
day04_part1,Pre-parse_full,,168431987,2173
day04_part1,Pre-parse_full,,176382201,2214
day04_part1,Pre-parse_full,,104038864,2255
day04_part1,Pre-parse_full,,145436708,2296
day04_part1,Pre-parse_full,,107838144,2337
day04_part1,Pre-parse_full,,128802148,2378
day04_part1,Pre-parse_full,,54153131,2419
day04_part1,Pre-parse_full,,54658677,2460
day04_part1,Pre-parse_full,,58328957,2501
day04_part1,Pre-parse_full,,58791396,2542
day04_part1,Pre-parse_full,,56632937,2583
day04_part1,Pre-parse_full,,68656939,2624
day04_part1,Pre-parse_full,,61837275,2665
day04_part1,Pre-parse_full,,60676119,2706
day04_part1,Pre-parse_full,,66478955,2747
day04_part1,Pre-parse_full,,64496470,2788
day04_part1,Pre-parse_full,,61945606,2829
day04_part1,Pre-parse_full,,63602279,2870
day04_part1,Pre-parse_full,,60652816,2911
day04_part1,Pre-parse_full,,62550888,2952
day04_part1,Pre-parse_full,,62528344,2993
day04_part1,Pre-parse_full,,65894367,3034
day04_part1,Pre-parse_full,,68805094,3075
day04_part1,Pre-parse_full,,66449477,3116
day04_part1,Pre-parse_full,,76347787,3157
day04_part1,Pre-parse_full,,69489211,3198
day04_part1,Pre-parse_full,,67994441,3239
day04_part1,Pre-parse_full,,70094471,3280
day04_part1,Pre-parse_full,,74316300,3321
day04_part1,Pre-parse_full,,73026569,3362
day04_part1,Pre-parse_full,,73644478,3403
day04_part1,Pre-parse_full,,68381790,3444
day04_part1,Pre-parse_full,,68365749,3485
day04_part1,Pre-parse_full,,67780308,3526
day04_part1,Pre-parse_full,,66897728,3567
day04_part1,Pre-parse_full,,66988644,3608
day04_part1,Pre-parse_full,,71265604,3649
day04_part1,Pre-parse_full,,78011983,3690
day04_part1,Pre-parse_full,,76179120,3731
day04_part1,Pre-parse_full,,76049480,3772
day04_part1,Pre-parse_full,,78043019,3813
day04_part1,Pre-parse_full,,74013348,3854
day04_part1,Pre-parse_full,,69724984,3895
day04_part1,Pre-parse_full,,71367869,3936
day04_part1,Pre-parse_full,,73468149,3977
day04_part1,Pre-parse_full,,75539279,4018
day04_part1,Pre-parse_full,,87154317,4059
day04_part1,Pre-parse_full,,82244073,4100
