group,function,value,sample_time_nanos,iteration_count
day04_part2,Pre-parse_full,,1356913,43
day04_part2,Pre-parse_full,,3210593,86
day04_part2,Pre-parse_full,,2812371,129
day04_part2,Pre-parse_full,,3758795,172
day04_part2,Pre-parse_full,,4769786,215
day04_part2,Pre-parse_full,,8177445,258
day04_part2,Pre-parse_full,,7499931,301
day04_part2,Pre-parse_full,,11268487,344
day04_part2,Pre-parse_full,,11777441,387
day04_part2,Pre-parse_full,,11429377,430
day04_part2,Pre-parse_full,,13415210,473
day04_part2,Pre-parse_full,,11653501,516
day04_part2,Pre-parse_full,,12502272,559
day04_part2,Pre-parse_full,,12946814,602
day04_part2,Pre-parse_full,,14189970,645
day04_part2,Pre-parse_full,,15119405,688
day04_part2,Pre-parse_full,,16154501,731
day04_part2,Pre-parse_full,,17802866,774
day04_part2,Pre-parse_full,,17578842,817
day04_part2,Pre-parse_full,,18501460,860
day04_part2,Pre-parse_full,,19284688,903
day04_part2,Pre-parse_full,,20668795,946
day04_part2,Pre-parse_full,,24292347,989
day04_part2,Pre-parse_full,,22097836,1032
day04_part2,Pre-parse_full,,22952023,1075
day04_part2,Pre-parse_full,,25404274,1118
day04_part2,Pre-parse_full,,26258421,1161
day04_part2,Pre-parse_full,,29052204,1204
day04_part2,Pre-parse_full,,28034451,1247
day04_part2,Pre-parse_full,,29320865,1290
day04_part2,Pre-parse_full,,30024196,1333
day04_part2,Pre-parse_full,,32670368,1376
day04_part2,Pre-parse_full,,41362259,1419
day04_part2,Pre-parse_full,,31963355,1462
day04_part2,Pre-parse_full,,33330748,1505
day04_part2,Pre-parse_full,,34700339,1548
day04_part2,Pre-parse_full,,35053231,1591
day04_part2,Pre-parse_full,,36374052,1634
day04_part2,Pre-parse_full,,36636454,1677
day04_part2,Pre-parse_full,,38265708,1720
day04_part2,Pre-parse_full,,38931190,1763
day04_part2,Pre-parse_full,,39894201,1806
day04_part2,Pre-parse_full,,52123418,1849
day04_part2,Pre-parse_full,,54507167,1892
day04_part2,Pre-parse_full,,45131313,1935
day04_part2,Pre-parse_full,,44959825,1978
day04_part2,Pre-parse_full,,44166123,2021
day04_part2,Pre-parse_full,,46504683,2064
day04_part2,Pre-parse_full,,47186672,2107
day04_part2,Pre-parse_full,,46835860,2150
day04_part2,Pre-parse_full,,49253941,2193
day04_part2,Pre-parse_full,,47933631,2236
day04_part2,Pre-parse_full,,50052235,2279
day04_part2,Pre-parse_full,,49671116,2322
day04_part2,Pre-parse_full,,49416671,2365
day04_part2,Pre-parse_full,,50068336,2408
day04_part2,Pre-parse_full,,50896176,2451
day04_part2,Pre-parse_full,,51728870,2494
day04_part2,Pre-parse_full,,52133874,2537
day04_part2,Pre-parse_full,,52157749,2580
day04_part2,Pre-parse_full,,50803757,2623
day04_part2,Pre-parse_full,,52619132,2666
day04_part2,Pre-parse_full,,60854806,2709
day04_part2,Pre-parse_full,,69471806,2752
day04_part2,Pre-parse_full,,65183941,2795
day04_part2,Pre-parse_full,,90539626,2838
day04_part2,Pre-parse_full,,85688967,2881
day04_part2,Pre-parse_full,,81861642,2924
day04_part2,Pre-parse_full,,74092439,2967
day04_part2,Pre-parse_full,,76936702,3010
day04_part2,Pre-parse_full,,94979384,3053
day04_part2,Pre-parse_full,,88058340,3096
day04_part2,Pre-parse_full,,69209669,3139
day04_part2,Pre-parse_full,,67752631,3182
day04_part2,Pre-parse_full,,70563964,3225
day04_part2,Pre-parse_full,,96003967,3268
day04_part2,Pre-parse_full,,84528770,3311
day04_part2,Pre-parse_full,,84207400,3354
day04_part2,Pre-parse_full,,105841511,3397
day04_part2,Pre-parse_full,,88446156,3440
day04_part2,Pre-parse_full,,86307710,3483
day04_part2,Pre-parse_full,,87211400,3526
day04_part2,Pre-parse_full,,142382993,3569
day04_part2,Pre-parse_full,,105436672,3612
day04_part2,Pre-parse_full,,84883671,3655
day04_part2,Pre-parse_full,,86475741,3698
day04_part2,Pre-parse_full,,111084148,3741
day04_part2,Pre-parse_full,,103869775,3784
day04_part2,Pre-parse_full,,85423834,3827
day04_part2,Pre-parse_full,,93121345,3870
day04_part2,Pre-parse_full,,90337942,3913
day04_part2,Pre-parse_full,,92604541,3956
day04_part2,Pre-parse_full,,86681321,3999
day04_part2,Pre-parse_full,,86630769,4042
day04_part2,Pre-parse_full,,92083363,4085
day04_part2,Pre-parse_full,,93631835,4128
day04_part2,Pre-parse_full,,90756005,4171
day04_part2,Pre-parse_full,,86352182,4214
day04_part2,Pre-parse_full,,86424046,4257
day04_part2,Pre-parse_full,,88089220,4300
