group,function,value,sample_time_nanos,iteration_count
day04_part2,Pre-parse,,1007953,18
day04_part2,Pre-parse,,2027997,36
day04_part2,Pre-parse,,2772238,54
day04_part2,Pre-parse,,3646397,72
day04_part2,Pre-parse,,4534284,90
day04_part2,Pre-parse,,5887671,108
day04_part2,Pre-parse,,6684297,126
day04_part2,Pre-parse,,7302322,144
day04_part2,Pre-parse,,8455218,162
day04_part2,Pre-parse,,9448368,180
day04_part2,Pre-parse,,10244152,198
day04_part2,Pre-parse,,11335838,216
day04_part2,Pre-parse,,12248128,234
day04_part2,Pre-parse,,12877764,252
day04_part2,Pre-parse,,13908174,270
day04_part2,Pre-parse,,15242803,288
day04_part2,Pre-parse,,15688025,306
day04_part2,Pre-parse,,18069076,324
day04_part2,Pre-parse,,18953828,342
day04_part2,Pre-parse,,19924085,360
day04_part2,Pre-parse,,21007123,378
day04_part2,Pre-parse,,21861758,396
day04_part2,Pre-parse,,23261988,414
day04_part2,Pre-parse,,24315818,432
day04_part2,Pre-parse,,24840429,450
day04_part2,Pre-parse,,26077149,468
day04_part2,Pre-parse,,26062334,486
day04_part2,Pre-parse,,26503271,504
day04_part2,Pre-parse,,26968491,522
day04_part2,Pre-parse,,27594851,540
day04_part2,Pre-parse,,29062127,558
day04_part2,Pre-parse,,30725236,576
day04_part2,Pre-parse,,31411036,594
day04_part2,Pre-parse,,31539270,612
day04_part2,Pre-parse,,32722863,630
day04_part2,Pre-parse,,33440802,648
day04_part2,Pre-parse,,34328546,666
day04_part2,Pre-parse,,35493078,684
day04_part2,Pre-parse,,36736854,702
day04_part2,Pre-parse,,37692566,720
day04_part2,Pre-parse,,38482865,738
day04_part2,Pre-parse,,39097664,756
day04_part2,Pre-parse,,39999058,774
day04_part2,Pre-parse,,40843702,792
day04_part2,Pre-parse,,41860653,810
day04_part2,Pre-parse,,43118608,828
day04_part2,Pre-parse,,43546749,846
day04_part2,Pre-parse,,45601340,864
day04_part2,Pre-parse,,47186790,882
day04_part2,Pre-parse,,46072584,900
day04_part2,Pre-parse,,48726766,918
day04_part2,Pre-parse,,50319709,936
day04_part2,Pre-parse,,49012126,954
day04_part2,Pre-parse,,49926683,972
day04_part2,Pre-parse,,51754657,990
day04_part2,Pre-parse,,51499456,1008
day04_part2,Pre-parse,,51095807,1026
day04_part2,Pre-parse,,52742167,1044
day04_part2,Pre-parse,,52948099,1062
day04_part2,Pre-parse,,54167776,1080
day04_part2,Pre-parse,,55334142,1098
day04_part2,Pre-parse,,55833002,1116
day04_part2,Pre-parse,,56244797,1134
day04_part2,Pre-parse,,57222585,1152
day04_part2,Pre-parse,,60972760,1170
day04_part2,Pre-parse,,60452232,1188
day04_part2,Pre-parse,,61996387,1206
day04_part2,Pre-parse,,60840211,1224
day04_part2,Pre-parse,,69231144,1242
day04_part2,Pre-parse,,64088996,1260
day04_part2,Pre-parse,,63612346,1278
day04_part2,Pre-parse,,69467957,1296
day04_part2,Pre-parse,,65611336,1314
day04_part2,Pre-parse,,67081178,1332
day04_part2,Pre-parse,,67311315,1350
day04_part2,Pre-parse,,66622321,1368
day04_part2,Pre-parse,,68250251,1386
day04_part2,Pre-parse,,67948168,1404
day04_part2,Pre-parse,,69331076,1422
day04_part2,Pre-parse,,73998040,1440
day04_part2,Pre-parse,,70517213,1458
day04_part2,Pre-parse,,80282807,1476
day04_part2,Pre-parse,,77786506,1494
day04_part2,Pre-parse,,72409500,1512
day04_part2,Pre-parse,,75522921,1530
day04_part2,Pre-parse,,75665489,1548
day04_part2,Pre-parse,,75166878,1566
day04_part2,Pre-parse,,78955155,1584
day04_part2,Pre-parse,,77762364,1602
day04_part2,Pre-parse,,79255263,1620
day04_part2,Pre-parse,,80418201,1638
day04_part2,Pre-parse,,81151322,1656
day04_part2,Pre-parse,,82596354,1674
day04_part2,Pre-parse,,82435122,1692
day04_part2,Pre-parse,,84352483,1710
day04_part2,Pre-parse,,83833366,1728
day04_part2,Pre-parse,,83574733,1746
day04_part2,Pre-parse,,86628764,1764
day04_part2,Pre-parse,,86506761,1782
day04_part2,Pre-parse,,87587493,1800
