group,function,value,sample_time_nanos,iteration_count
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,99011974,1
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,207921017,2
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,304436104,3
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,396208257,4
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,495637088,5
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,594725747,6
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,707870907,7
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,805292712,8
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,906457721,9
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,999392572,10
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,1108160162,11
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,1203053184,12
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,1298099697,13
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,1390845077,14
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,1490010383,15
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,1588654136,16
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,1707902795,17
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,1799316829,18
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,1891480976,19
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,2037227536,20
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,2088878903,21
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,2205821346,22
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,2287772404,23
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,2384171981,24
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,2495244061,25
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,2590718743,26
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,2709530165,27
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,2804439748,28
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,2928592956,29
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,3019133306,30
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,3094854521,31
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,3197534690,32
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,3345048046,33
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,3408350184,34
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,3499017763,35
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,3592480316,36
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,3697128511,37
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,3815213279,38
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,3925959967,39
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,4118714975,40
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,4101753968,41
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,4209744297,42
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,4326858000,43
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,4437650460,44
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,4491625338,45
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,4585691542,46
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,4708037035,47
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,4800824109,48
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,4903410396,49
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,5010173623,50
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,5092684361,51
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,5198806943,52
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,5320788255,53
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,5452442174,54
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,5497493533,55
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,5606399120,56
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,5694298360,57
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,5845518911,58
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,5914267346,59
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,5988137632,60
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,6116163084,61
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,6209924705,62
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,6320089994,63
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,6404376973,64
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,6478603226,65
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,6647605932,66
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,6743437983,67
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,6794933235,68
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,6906698421,69
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,7049064164,70
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,7100206889,71
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,7242067547,72
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,7281480311,73
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,7463273851,74
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,7482956954,75
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,7612432466,76
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,7744898070,77
