group,function,value,sample_time_nanos,iteration_count
day05_part1,Stack,,1004880,4
day05_part1,Stack,,1982348,8
day05_part1,Stack,,2962724,12
day05_part1,Stack,,3961216,16
day05_part1,Stack,,4932220,20
day05_part1,Stack,,5960963,24
day05_part1,Stack,,6956117,28
day05_part1,Stack,,7963003,32
day05_part1,Stack,,8898326,36
day05_part1,Stack,,9932578,40
day05_part1,Stack,,10903346,44
day05_part1,Stack,,11867941,48
day05_part1,Stack,,12908801,52
day05_part1,Stack,,13853394,56
day05_part1,Stack,,14923566,60
day05_part1,Stack,,15844512,64
day05_part1,Stack,,16922605,68
day05_part1,Stack,,18427845,72
day05_part1,Stack,,18954310,76
day05_part1,Stack,,20024189,80
day05_part1,Stack,,20847457,84
day05_part1,Stack,,21805588,88
day05_part1,Stack,,22792412,92
day05_part1,Stack,,23827697,96
day05_part1,Stack,,24880937,100
day05_part1,Stack,,25881257,104
day05_part1,Stack,,26697254,108
day05_part1,Stack,,27818152,112
day05_part1,Stack,,28741477,116
day05_part1,Stack,,29752999,120
day05_part1,Stack,,30712732,124
day05_part1,Stack,,31766832,128
day05_part1,Stack,,32687249,132
day05_part1,Stack,,33682276,136
day05_part1,Stack,,37429738,140
day05_part1,Stack,,35668365,144
day05_part1,Stack,,36845976,148
day05_part1,Stack,,37655759,152
day05_part1,Stack,,38559049,156
day05_part1,Stack,,39623819,160
day05_part1,Stack,,40669101,164
day05_part1,Stack,,41913990,168
day05_part1,Stack,,42618825,172
day05_part1,Stack,,43597742,176
day05_part1,Stack,,44388615,180
day05_part1,Stack,,45630792,184
day05_part1,Stack,,47378040,188
day05_part1,Stack,,47702994,192
day05_part1,Stack,,48855343,196
day05_part1,Stack,,49646656,200
day05_part1,Stack,,50689490,204
day05_part1,Stack,,51401876,208
day05_part1,Stack,,52498561,212
day05_part1,Stack,,53506390,216
day05_part1,Stack,,54469947,220
day05_part1,Stack,,55327279,224
day05_part1,Stack,,56372461,228
day05_part1,Stack,,57505596,232
day05_part1,Stack,,58747597,236
day05_part1,Stack,,59547092,240
day05_part1,Stack,,61537723,244
day05_part1,Stack,,62565724,248
day05_part1,Stack,,62357736,252
day05_part1,Stack,,63339825,256
day05_part1,Stack,,64556308,260
day05_part1,Stack,,65609562,264
day05_part1,Stack,,66479957,268
day05_part1,Stack,,67678649,272
day05_part1,Stack,,68605329,276
day05_part1,Stack,,69531263,280
day05_part1,Stack,,70282898,284
day05_part1,Stack,,71419924,288
day05_part1,Stack,,72912520,292
day05_part1,Stack,,73447166,296
day05_part1,Stack,,74375568,300
day05_part1,Stack,,75009618,304
day05_part1,Stack,,76385582,308
day05_part1,Stack,,77114914,312
day05_part1,Stack,,78311812,316
day05_part1,Stack,,79438772,320
day05_part1,Stack,,80570542,324
day05_part1,Stack,,81688821,328
day05_part1,Stack,,82393730,332
day05_part1,Stack,,83062412,336
day05_part1,Stack,,84081408,340
day05_part1,Stack,,84934101,344
day05_part1,Stack,,86242893,348
day05_part1,Stack,,87298606,352
day05_part1,Stack,,88233323,356
day05_part1,Stack,,89092873,360
day05_part1,Stack,,90520358,364
day05_part1,Stack,,91300435,368
day05_part1,Stack,,92303246,372
day05_part1,Stack,,93383762,376
day05_part1,Stack,,94345771,380
day05_part1,Stack,,95443038,384
day05_part1,Stack,,96337800,388
day05_part1,Stack,,97202781,392
day05_part1,Stack,,99689408,396
day05_part1,Stack,,99598483,400
