group,function,value,sample_time_nanos,iteration_count
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,2467928224,1
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,4972547591,2
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,7446311196,3
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,9950383993,4
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,12419036738,5
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,14974741132,6
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,17490425509,7
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,19855036174,8
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,22404141719,9
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,24813994784,10
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,27371818761,11
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,29839990944,12
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,32353138890,13
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,34844627689,14
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,37247269589,15
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,39704129050,16
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,42281930321,17
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,44780765685,18
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,48087596570,19
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,49853704683,20
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,52302976001,21
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,54693704868,22
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,57444673905,23
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,59692939342,24
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,62161178067,25
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,64690230764,26
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,67073805818,27
day05_part2,Loop_until_length_does_not_change_using_Iterator_fold,,69626283014,28
