group,function,value,sample_time_nanos,iteration_count
day05_part2,Stack,,2781416,1
day05_part2,Stack,,5475192,2
day05_part2,Stack,,8284658,3
day05_part2,Stack,,10769497,4
day05_part2,Stack,,13654730,5
day05_part2,Stack,,18622125,6
day05_part2,Stack,,18830921,7
day05_part2,Stack,,21710644,8
day05_part2,Stack,,24226501,9
day05_part2,Stack,,27809639,10
day05_part2,Stack,,29822134,11
day05_part2,Stack,,32610012,12
day05_part2,Stack,,35138915,13
day05_part2,Stack,,37687404,14
day05_part2,Stack,,40608702,15
day05_part2,Stack,,43590722,16
day05_part2,Stack,,45946185,17
day05_part2,Stack,,48553661,18
day05_part2,Stack,,51613752,19
day05_part2,Stack,,54384694,20
day05_part2,Stack,,56880509,21
day05_part2,Stack,,59543745,22
day05_part2,Stack,,62837509,23
day05_part2,Stack,,64561892,24
day05_part2,Stack,,67627861,25
day05_part2,Stack,,70041892,26
day05_part2,Stack,,73162141,27
day05_part2,Stack,,77133198,28
day05_part2,Stack,,78019394,29
day05_part2,Stack,,81967550,30
day05_part2,Stack,,84132906,31
day05_part2,Stack,,87374020,32
day05_part2,Stack,,89220456,33
day05_part2,Stack,,92524881,34
day05_part2,Stack,,95382739,35
day05_part2,Stack,,97300388,36
day05_part2,Stack,,101407174,37
day05_part2,Stack,,104720844,38
day05_part2,Stack,,111256648,39
day05_part2,Stack,,108571674,40
day05_part2,Stack,,111363714,41
day05_part2,Stack,,113134607,42
day05_part2,Stack,,117433110,43
day05_part2,Stack,,119652716,44
day05_part2,Stack,,121535475,45
day05_part2,Stack,,124014639,46
day05_part2,Stack,,128000799,47
day05_part2,Stack,,129428466,48
day05_part2,Stack,,133100903,49
day05_part2,Stack,,134789391,50
day05_part2,Stack,,154721741,51
day05_part2,Stack,,173612517,52
day05_part2,Stack,,143863942,53
day05_part2,Stack,,147497827,54
day05_part2,Stack,,148362097,55
day05_part2,Stack,,151424802,56
day05_part2,Stack,,154403638,57
day05_part2,Stack,,159017078,58
day05_part2,Stack,,159030155,59
day05_part2,Stack,,162777729,60
day05_part2,Stack,,168403690,61
day05_part2,Stack,,168838326,62
day05_part2,Stack,,170658403,63
day05_part2,Stack,,174015544,64
day05_part2,Stack,,175424936,65
day05_part2,Stack,,179985180,66
day05_part2,Stack,,181321066,67
day05_part2,Stack,,183377774,68
day05_part2,Stack,,188356959,69
day05_part2,Stack,,189137386,70
day05_part2,Stack,,191911415,71
day05_part2,Stack,,196969338,72
day05_part2,Stack,,198531613,73
day05_part2,Stack,,200511536,74
day05_part2,Stack,,203980857,75
day05_part2,Stack,,205844161,76
day05_part2,Stack,,209976851,77
day05_part2,Stack,,211870599,78
day05_part2,Stack,,215397978,79
day05_part2,Stack,,216028503,80
day05_part2,Stack,,218835143,81
day05_part2,Stack,,222614769,82
day05_part2,Stack,,227506498,83
day05_part2,Stack,,228804394,84
day05_part2,Stack,,229604096,85
day05_part2,Stack,,236179364,86
day05_part2,Stack,,249352565,87
day05_part2,Stack,,275887346,88
day05_part2,Stack,,249978893,89
day05_part2,Stack,,245603698,90
day05_part2,Stack,,245463544,91
day05_part2,Stack,,250199081,92
day05_part2,Stack,,253434841,93
day05_part2,Stack,,255906962,94
day05_part2,Stack,,258191206,95
day05_part2,Stack,,271979101,96
day05_part2,Stack,,263439264,97
day05_part2,Stack,,267150820,98
day05_part2,Stack,,268669833,99
day05_part2,Stack,,291116389,100
