group,function,value,sample_time_nanos,iteration_count
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,99769087,1
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,200556427,2
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,304639092,3
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,401880319,4
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,501410781,5
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,603351069,6
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,721371246,7
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,818035467,8
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,910075882,9
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,1034690524,10
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,1104830911,11
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,1238858125,12
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,1370192943,13
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,1469376288,14
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,1593423058,15
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,1653792564,16
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,1704214822,17
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,1840369026,18
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,1955339687,19
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,1999105073,20
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,2166747962,21
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,2203738648,22
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,2365409113,23
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,2436201322,24
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,2558966300,25
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,2627597958,26
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,2773465359,27
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,2845308935,28
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,3019521610,29
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,3004958661,30
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,3168205815,31
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,3292012757,32
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,3359374345,33
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,3662698461,34
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,3580396623,35
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,3774899568,36
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,3752778517,37
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,3862419470,38
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,3996390117,39
day05_part1,Loop_until_length_does_not_change_using_Iterator_fold,,4087563263,40
