group,function,value,sample_time_nanos,iteration_count
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,40879659,1
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,79278595,2
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,119583958,3
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,157282138,4
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,197669275,5
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,238787459,6
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,279323248,7
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,321424125,8
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,367018005,9
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,401849794,10
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,459367166,11
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,486177325,12
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,523386725,13
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,553309992,14
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,599349844,15
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,641809197,16
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,671422711,17
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,740684749,18
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,771696546,19
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,809144213,20
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,919414830,21
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,911376613,22
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,915118367,23
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,968478267,24
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,1013179327,25
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,1049758168,26
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,1089632665,27
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,1122067704,28
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,1175217036,29
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,1203117526,30
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,1273925358,31
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,1278695708,32
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,1335250870,33
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,1368496796,34
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,1449744305,35
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,1465009617,36
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,1544857400,37
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,1517480712,38
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,1574639448,39
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,1626538158,40
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,1680106211,41
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,1682087524,42
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2168947055,43
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2090993230,44
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,1809160086,45
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,1894122743,46
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2020918798,47
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2306833256,48
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2129953264,49
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2024867916,50
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2079588783,51
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2134034927,52
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2206794568,53
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2409066614,54
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2241524516,55
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2358396358,56
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2323567802,57
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2346762965,58
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2391612471,59
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2396370110,60
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2466219967,61
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2488618679,62
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2659401644,63
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2645590092,64
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2745335203,65
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2696503199,66
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2772995320,67
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2958192410,68
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2786493085,69
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3102190028,70
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,2965063172,71
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3128184450,72
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3072564988,73
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3052021539,74
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3149725165,75
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3241830096,76
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3260191215,77
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3341024317,78
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3366440888,79
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3475413446,80
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3378195287,81
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3252809370,82
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3399900767,83
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3408898231,84
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3479654022,85
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3474735180,86
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3589952987,87
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3532092345,88
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3629982410,89
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3773674323,90
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3730978151,91
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3800903144,92
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,4155649659,93
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,4167014811,94
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3999919099,95
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,3988813519,96
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,4400525932,97
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,4005692992,98
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,4061824878,99
day05_part1,Loop_until_length_does_not_change_using_Iterator_scan(),,4246309697,100
