group,function,value,sample_time_nanos,iteration_count
day09_part2,Double_Linked_List,,306682389,1
day09_part2,Double_Linked_List,,700150119,2
day09_part2,Double_Linked_List,,912937484,3
day09_part2,Double_Linked_List,,1326142452,4
day09_part2,Double_Linked_List,,1636684547,5
day09_part2,Double_Linked_List,,2516579028,6
day09_part2,Double_Linked_List,,2069974926,7
day09_part2,Double_Linked_List,,2619569748,8
day09_part2,Double_Linked_List,,3178889248,9
day09_part2,Double_Linked_List,,3205778567,10
day09_part2,Double_Linked_List,,3588790274,11
day09_part2,Double_Linked_List,,3895443790,12
day09_part2,Double_Linked_List,,3681884868,13
day09_part2,Double_Linked_List,,3472811148,14
day09_part2,Double_Linked_List,,3686893663,15
day09_part2,Double_Linked_List,,3894168589,16
day09_part2,Double_Linked_List,,4169100590,17
day09_part2,Double_Linked_List,,4399451532,18
day09_part2,Double_Linked_List,,4660345651,19
day09_part2,Double_Linked_List,,4918370971,20
day09_part2,Double_Linked_List,,5165152719,21
day09_part2,Double_Linked_List,,5439066268,22
day09_part2,Double_Linked_List,,5652859672,23
day09_part2,Double_Linked_List,,5888902431,24
day09_part2,Double_Linked_List,,6139684938,25
day09_part2,Double_Linked_List,,6384048405,26
day09_part2,Double_Linked_List,,6641262881,27
day09_part2,Double_Linked_List,,6909438239,28
day09_part2,Double_Linked_List,,7103174097,29
day09_part2,Double_Linked_List,,7358949994,30
day09_part2,Double_Linked_List,,7702260946,31
day09_part2,Double_Linked_List,,7827191393,32
day09_part2,Double_Linked_List,,8058148645,33
day09_part2,Double_Linked_List,,8480023115,34
day09_part2,Double_Linked_List,,8449519729,35
day09_part2,Double_Linked_List,,10929667435,36
day09_part2,Double_Linked_List,,10643994306,37
day09_part2,Double_Linked_List,,12422535737,38
day09_part2,Double_Linked_List,,10777364509,39
day09_part2,Double_Linked_List,,10440427901,40
day09_part2,Double_Linked_List,,11019113005,41
day09_part2,Double_Linked_List,,13432946904,42
day09_part2,Double_Linked_List,,14167998469,43
day09_part2,Double_Linked_List,,11672436077,44
day09_part2,Double_Linked_List,,11946102673,45
day09_part2,Double_Linked_List,,11787214960,46
day09_part2,Double_Linked_List,,11896902331,47
day09_part2,Double_Linked_List,,12183743353,48
day09_part2,Double_Linked_List,,12759297143,49
day09_part2,Double_Linked_List,,13482967804,50
day09_part2,Double_Linked_List,,12815531546,51
day09_part2,Double_Linked_List,,13189828031,52
day09_part2,Double_Linked_List,,13408291025,53
day09_part2,Double_Linked_List,,13467986694,54
day09_part2,Double_Linked_List,,13778870388,55
day09_part2,Double_Linked_List,,14118175335,56
day09_part2,Double_Linked_List,,14318264729,57
day09_part2,Double_Linked_List,,15789818952,58
day09_part2,Double_Linked_List,,15418459993,59
day09_part2,Double_Linked_List,,15853107615,60
day09_part2,Double_Linked_List,,17509128382,61
day09_part2,Double_Linked_List,,18438650894,62
day09_part2,Double_Linked_List,,20441583011,63
day09_part2,Double_Linked_List,,22176323777,64
day09_part2,Double_Linked_List,,20007797425,65
day09_part2,Double_Linked_List,,22509872565,66
day09_part2,Double_Linked_List,,18770339521,67
day09_part2,Double_Linked_List,,21849089454,68
day09_part2,Double_Linked_List,,17838765449,69
day09_part2,Double_Linked_List,,17859834655,70
day09_part2,Double_Linked_List,,18222375153,71
day09_part2,Double_Linked_List,,21711997053,72
day09_part2,Double_Linked_List,,20178363600,73
day09_part2,Double_Linked_List,,21204456311,74
day09_part2,Double_Linked_List,,18899886195,75
day09_part2,Double_Linked_List,,20121153893,76
day09_part2,Double_Linked_List,,19358540468,77
day09_part2,Double_Linked_List,,20376975009,78
day09_part2,Double_Linked_List,,22641177770,79
day09_part2,Double_Linked_List,,27244295586,80
day09_part2,Double_Linked_List,,20149262230,81
day09_part2,Double_Linked_List,,20317116967,82
day09_part2,Double_Linked_List,,21749186200,83
day09_part2,Double_Linked_List,,21363880228,84
day09_part2,Double_Linked_List,,22001145896,85
day09_part2,Double_Linked_List,,21282068645,86
day09_part2,Double_Linked_List,,21856670244,87
day09_part2,Double_Linked_List,,21894606605,88
day09_part2,Double_Linked_List,,22053391680,89
day09_part2,Double_Linked_List,,22422133304,90
day09_part2,Double_Linked_List,,22595897870,91
day09_part2,Double_Linked_List,,22719696104,92
day09_part2,Double_Linked_List,,23850658180,93
day09_part2,Double_Linked_List,,26996469779,94
day09_part2,Double_Linked_List,,31932320037,95
day09_part2,Double_Linked_List,,24524559629,96
day09_part2,Double_Linked_List,,24818972319,97
day09_part2,Double_Linked_List,,25172957411,98
day09_part2,Double_Linked_List,,26265117667,99
day09_part2,Double_Linked_List,,24602665658,100
