group,function,value,sample_time_nanos,iteration_count
day12_part1,Parse_string_dynamically,,2132518,6
day12_part1,Parse_string_dynamically,,4041201,12
day12_part1,Parse_string_dynamically,,6373961,18
day12_part1,Parse_string_dynamically,,12322646,24
day12_part1,Parse_string_dynamically,,13572264,30
day12_part1,Parse_string_dynamically,,14778164,36
day12_part1,Parse_string_dynamically,,47535775,42
day12_part1,Parse_string_dynamically,,6493050,48
day12_part1,Parse_string_dynamically,,6860900,54
day12_part1,Parse_string_dynamically,,7469967,60
day12_part1,Parse_string_dynamically,,8210436,66
day12_part1,Parse_string_dynamically,,8880487,72
day12_part1,Parse_string_dynamically,,11810938,78
day12_part1,Parse_string_dynamically,,21893888,84
day12_part1,Parse_string_dynamically,,23064657,90
day12_part1,Parse_string_dynamically,,22462652,96
day12_part1,Parse_string_dynamically,,56824683,102
day12_part1,Parse_string_dynamically,,9761160,108
day12_part1,Parse_string_dynamically,,18170434,114
day12_part1,Parse_string_dynamically,,19701233,120
day12_part1,Parse_string_dynamically,,19621859,126
day12_part1,Parse_string_dynamically,,23232210,132
day12_part1,Parse_string_dynamically,,73139035,138
day12_part1,Parse_string_dynamically,,24939019,144
day12_part1,Parse_string_dynamically,,25917601,150
day12_part1,Parse_string_dynamically,,25058643,156
day12_part1,Parse_string_dynamically,,85173607,162
day12_part1,Parse_string_dynamically,,35352913,168
day12_part1,Parse_string_dynamically,,38052171,174
day12_part1,Parse_string_dynamically,,38636082,180
day12_part1,Parse_string_dynamically,,107843583,186
day12_part1,Parse_string_dynamically,,34547728,192
day12_part1,Parse_string_dynamically,,33844562,198
day12_part1,Parse_string_dynamically,,32244594,204
day12_part1,Parse_string_dynamically,,102077561,210
day12_part1,Parse_string_dynamically,,34657433,216
day12_part1,Parse_string_dynamically,,35816521,222
day12_part1,Parse_string_dynamically,,76407668,228
day12_part1,Parse_string_dynamically,,91444625,234
day12_part1,Parse_string_dynamically,,96544723,240
day12_part1,Parse_string_dynamically,,185979609,246
day12_part1,Parse_string_dynamically,,84810560,252
day12_part1,Parse_string_dynamically,,127403799,258
day12_part1,Parse_string_dynamically,,23076912,264
day12_part1,Parse_string_dynamically,,30522750,270
day12_part1,Parse_string_dynamically,,144338692,276
day12_part1,Parse_string_dynamically,,63911019,282
day12_part1,Parse_string_dynamically,,129133783,288
day12_part1,Parse_string_dynamically,,52230851,294
day12_part1,Parse_string_dynamically,,59675082,300
day12_part1,Parse_string_dynamically,,87041429,306
day12_part1,Parse_string_dynamically,,66538905,312
day12_part1,Parse_string_dynamically,,156090101,318
day12_part1,Parse_string_dynamically,,71570764,324
day12_part1,Parse_string_dynamically,,121700232,330
day12_part1,Parse_string_dynamically,,103614006,336
day12_part1,Parse_string_dynamically,,160949470,342
day12_part1,Parse_string_dynamically,,54532587,348
day12_part1,Parse_string_dynamically,,159618083,354
day12_part1,Parse_string_dynamically,,169162351,360
day12_part1,Parse_string_dynamically,,178046074,366
day12_part1,Parse_string_dynamically,,83344677,372
day12_part1,Parse_string_dynamically,,207324883,378
day12_part1,Parse_string_dynamically,,236725288,384
day12_part1,Parse_string_dynamically,,104341501,390
day12_part1,Parse_string_dynamically,,190489701,396
day12_part1,Parse_string_dynamically,,86924968,402
day12_part1,Parse_string_dynamically,,231083537,408
day12_part1,Parse_string_dynamically,,109970473,414
day12_part1,Parse_string_dynamically,,223641437,420
day12_part1,Parse_string_dynamically,,171306266,426
day12_part1,Parse_string_dynamically,,88300800,432
day12_part1,Parse_string_dynamically,,177240788,438
day12_part1,Parse_string_dynamically,,116521186,444
day12_part1,Parse_string_dynamically,,169920158,450
day12_part1,Parse_string_dynamically,,218907659,456
day12_part1,Parse_string_dynamically,,180005124,462
day12_part1,Parse_string_dynamically,,236767712,468
day12_part1,Parse_string_dynamically,,191584945,474
day12_part1,Parse_string_dynamically,,252600735,480
day12_part1,Parse_string_dynamically,,247420038,486
day12_part1,Parse_string_dynamically,,226096401,492
day12_part1,Parse_string_dynamically,,246643044,498
day12_part1,Parse_string_dynamically,,227589536,504
day12_part1,Parse_string_dynamically,,194506089,510
day12_part1,Parse_string_dynamically,,281427830,516
day12_part1,Parse_string_dynamically,,190211205,522
day12_part1,Parse_string_dynamically,,190107263,528
day12_part1,Parse_string_dynamically,,178758141,534
day12_part1,Parse_string_dynamically,,317566519,540
day12_part1,Parse_string_dynamically,,377355406,546
day12_part1,Parse_string_dynamically,,366548487,552
day12_part1,Parse_string_dynamically,,372279268,558
day12_part1,Parse_string_dynamically,,277565112,564
day12_part1,Parse_string_dynamically,,339116933,570
day12_part1,Parse_string_dynamically,,477758069,576
day12_part1,Parse_string_dynamically,,377300483,582
day12_part1,Parse_string_dynamically,,459046693,588
day12_part1,Parse_string_dynamically,,407282621,594
day12_part1,Parse_string_dynamically,,415040477,600
